Kode Perusahaan Tercatat;Nama Perusahaan Tercatat;Tanggal Pencatatan;Sektor;Industri;Nilai Dana Dihimpun dari IPO (dalam Jutaan);Jumlah Saham Dicatatkan;Harga IPO;Pergerakan Harga Saham Sejak Tercatat;;;;;Pertumbuhan Kinerja Keuangan 1 Tahun Sejak Tercatat;;;;Nama Profesi Penunjang;;;;Terdapat Perubahan penggunaan Dana;Terdapat Perubahan Pengendali;Terdapat Perubahan manajemen;;Pergerakan Harga Saham Sejak IPO;;;;;;Pergerakan Harga Saham Sejak IPO;;;;;23/06/23;23/07/13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kolom Bantuan
;;;;;;;;1D;1W;1M;6M;1Y;"Aset 
(%)";"Liabilitas 
(%)";"Pendapatan 
(%)";"Laba Bersih 
(%)";Penjamin Pelaksana Emisi;Kantor Akuntan Publik;Konsultan Hukum;;;Konsultan Hukum;Konsultan Hukum;;1D;1W;1M;6M;1Y;;1D;1W;1M;6M;1Y;Last Price;Last Price;Pansus;Pansus;;Basis Data Keuangan;;Assets;;;;;; Liabilities ;;;;;;NilaiPendapatan;;;;;;ProfitLoss;;;;;;PriorEndYear
;;;;;;;;;;;;;;;;;;;;;;;;;Tanggal;Tanggal;Tanggal;Tanggal;Tanggal;;Harga;Harga;Harga;Harga;Harga;Harga;Harga;Tanggal;Kriteria;;;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;2018;2019;2020;2021;2022;;CurrentYear
SAMF;PT Saraswanti Anugerah Makmur Tbk;31-Mar-20;Basic Materials;Chemicals; 93.000 ; 5.125.000.000 ; 120 ;35%;233%;218%;217%;230%;0%;-22%;10%;36%;"SURYA FAJAR SEKURITAS; DANATAMA MAKMUR SEKURITAS (II)";PAUL HADIWINATA, HIDAJAT, ARSONO, RETNO, PALILINGAN & PARTNERS;HANAFIAH PONGGAWA & PARTNERS (DENTONS HPRP);;;;;;04-Jul-19;10-Jul-19;02-Aug-19;03-Jan-20;03-Jul-20;; 330 ; 492 ; 625 ; 2.540 ; 1.165 ; 272 ; 274 ;;;;2019;; 355.678.936.669 ; 393.004.528.940 ;  ;  ;  ;; 149.661.548.107 ; 185.338.074.581 ;  ;  ;  ;; 65.922.186.060 ; 79.225.602.664 ;  ;  ;  ;; 3.168.173.084 ; 1.080.485.209 ;  ;  ;  ;;
KBAG;PT Karya Bersama Anugerah Tbk;08-Apr-20;Properties & Real Estate;Real Estate Management & Development; 215.000 ; 7.150.000.000 ; 100 ;35%;114%;176%;-33%;-50%;84%;4%;35%;-94%;"DANATAMA MAKMUR SEKURITAS (II); NH KORINDO SEKURITAS INDONESIA (XA); AARTHA SEKURITAS INDONESIA (SH); HENAN PUTIHRAI SEKURITAS (HP); KB VALBURY SEKURITAS (CP); WATERFRONT SEKURITAS INDONESIA (FZ); MIRAE ASSET SEKURITAS INDONESIA (YP); PANIN SEKURITAS TBK. (GR); INDOSURYA BERSINAR SEKURITAS (IP); RELIANCE SEKURITAS INDONESIA TBK. (LS); KGI SEKURITAS INDONESIA (HD); NILAI INTI SEKURITAS (RO); ONIX SEKURITAS (FM); MINNA PADI INVESTAMA SEKURITAS TBK (MU)";TJAHJADI & TAMARA;LASUT PANE & PARTNERS;;;;;;04-Jul-19;10-Jul-19;02-Aug-19;03-Jan-20;03-Jul-20;; 254 ; 378 ; 400 ; 67 ; 50 ; 147 ; 151 ;;;;2019;; 73.682.048.560 ; 77.084.124.954 ;  ;  ;  ;; 18.663.733.651 ; 21.685.911.568 ;  ;  ;  ;; 18.221.716.847 ; 11.986.481.468 ;  ;  ;  ;; 520.416.003 ; 379.898.477 ;  ;  ;  ;;
SBAT;PT Sejahtera Bintang Abadi Textile Tbk;08-Apr-20;Consumer Cyclicals;Apparel & Luxury Goods; 44.625 ; 2.125.000.000 ; 105 ;34%;50%;16%;47%;-48%;8%;1%;-44%;-87%;"SURYA FAJAR SEKURITAS; VICTORIA SEKURITAS INDONESIA (MI)";MORHAN & PARTNERS;ALDJUFRI GILL PRISCILLA RIZKI (AGPR);;;;;;05-Jul-19;11-Jul-19;02-Aug-19;03-Jan-20;03-Jul-20;; 170 ; 368 ; 466 ; 68 ; 86 ; 91 ; 92 ;;;;2019;; 525.775.134.369 ; 516.521.658.234 ;  ;  ;  ;; 148.826.083.328 ; 145.203.172.889 ;  ;  ;  ;; 36.862.579.868 ; 36.529.409.645 ;  ;  ;  ;;-1.193.835.785 ;-5.630.565.696 ;  ;  ;  ;;
RONY;PT Aesler Grup Internasional Tbk;09-Apr-20;Infrastructures;Heavy Constructions & Civil Engineering; 25.000 ; 1.250.000.000 ; 100 ;35%;280%;106%;238%;57%;102%;43%;-66%;-197%;INDO CAPITAL SEKURITAS;HERMAN, DODY, TANUMIHARDJA & PARTNERS;WARDHANA KRISTANTO LAWYERS;;;;;;08-Jul-19;12-Jul-19;07-Aug-19;07-Jan-20;07-Jul-20;; 236 ; 230 ; 238 ; 500 ; 362 ; 51 ; 50 ;;;;2019;; 9.132.432.000.000 ; 9.219.699.000.000 ;  ;  ;  ;; 6.110.349.000.000 ; 5.083.949.000.000 ;  ;  ;  ;; 1.535.923.000.000 ; 1.549.669.000.000 ;  ;  ;  ;;-65.339.000.000 ; 22.903.000.000 ;  ;  ;  ;;
CBMF;PT Cahaya Bintang Medan Tbk;09-Apr-20;Consumer Cyclicals;Household Goods; 60.000 ; 1.875.000.000 ; 160 ;35%;26%;-28%;140%;25%;26%;12%;-48%;-80%;"INDO CAPITAL SEKURITAS; SEMESTA INDOVEST SEKURITAS (MG); SEMESTA INDOVEST SEKURITAS (MG); INDO CAPITAL SEKURITAS";HERMAN DODY TANUMIHARDJA & PARTNERS;WILLIAM HENDRIK ESTHER;;;;;;08-Jul-19;12-Jul-19;07-Aug-19;07-Jan-20;07-Jul-20;; 555 ; 890 ; 1.250 ; 840 ; 104 ; 50 ; 50 ;31-May-22;"1;3;7";;2019;; 170.646.994.564 ; 191.576.241.674 ;  ;  ;  ;; 66.850.156.226 ; 85.335.979.963 ;  ;  ;  ;; 29.473.103.870 ; 72.652.169.247 ;  ;  ;  ;; 1.272.987.505 ; 2.443.423.373 ;  ;  ;  ;;
CSMI;PT Cipta Selera Murni Tbk;09-Apr-20;Consumer Cyclicals;Tourism & Recreation; 36.076 ; 816.061.500 ; 196 ;1%;-8%;-10%;81%;770%;-5%;1%;-62%;228%;SUCOR SEKURITAS (AZ);HADORI SUGIARTO ADI & PARTNERS;WARENS & PARTNERS LAW FIRM;;;;;;08-Jul-19;12-Jul-19;07-Aug-19;07-Jan-20;07-Jul-20;; 220 ; 500 ; 580 ; 510 ; 498 ; 338 ; 354 ;;;;2019;; 72.140.755.503 ; 91.412.010.974 ;  ;  ;  ;; 27.641.769.551 ; 16.001.080.639 ;  ;  ;  ;; 80.444.465.684 ; 84.111.439.530 ;  ;  ;  ;; 16.798.561.081 ; 13.633.867.460 ;  ;  ;  ;;
BHAT;PT Bhakti Multi Artha Tbk;15-Apr-20;Financials;Insurance; 206.000 ; 5.000.000.000 ; 103 ;35%;172%;240%;374%;497%;63%;46%;23%;302%;"JASA UTAMA CAPITAL SEKURITAS (YB); EKUATOR SWARNA SEKURITAS (MK); ERDIKHA ELIT SEKURITAS (AO); PANIN SEKURITAS TBK. (GR); PROFINDO SEKURITAS INDONESIA (RG)";ANTADAYA, HELMIANSYAH & YASSIRLI;ADAMS & CO, COUNSELLORS-AT-LAW;;;;;;09-Jul-19;15-Jul-19;08-Aug-19;08-Jan-20;08-Jul-20;; 134 ; 124 ; 158 ; 97 ; 59 ; 119 ; 133 ;;;;2019;; 245.861.306.951 ; 242.024.738.655 ;  ;  ;  ;; 60.427.028.007 ; 54.246.848.965 ;  ;  ;  ;; 23.109.530.586 ; 28.484.273.441 ;  ;  ;  ;;-1.110.323.001 ; 2.351.903.360 ;  ;  ;  ;;
BBSS;PT Bumi Benowo Sukses Sejahtera Tbk;15-Apr-20;Properties & Real Estate;Real Estate Management & Development; 156.000 ; 4.800.000.000 ; 120 ;35%;54%;36%;3%;-46%;138%;-4%;-85%;-111%;MIRAE ASSET SEKURITAS INDONESIA (YP);GANDA NAINGGOLAN & PARTNERS;WILLIAM HENDRIK ESTHER;;;;;;09-Jul-19;15-Jul-19;08-Aug-19;08-Jan-20;08-Jul-20;; 12.100 ; 11.650 ; 11.875 ; 6.000 ; 6.750 ; 6.150 ; 6.150 ;31-May-23;7;;2019;; 15.554.489.000.000 ; 15.712.621.000.000 ;  ;  ;  ;; 7.793.757.000.000 ; 7.710.305.000.000 ;  ;  ;  ;; 2.464.235.000.000 ; 2.297.638.000.000 ;  ;  ;  ;; 132.014.000.000 ; 193.832.000.000 ;  ;  ;  ;;
CASH;PT Cashlez Worldwide Indonesia Tbk;04-May-20;Technology;Online Applications & Services; 87.500 ; 1.428.004.402 ; 350 ;10%;14%;37%;63%;-9%;274%;279%;408%;-34%;SINARMAS SEKURITAS (DH);MORHAN & PARTNERS;LOU & PARTNERS;;;;;;09-Jul-19;15-Jul-19;08-Aug-19;08-Jan-20;08-Jul-20;; 187 ; 126 ; 118 ; 106 ; 106 ; 272 ; 262 ;;;;2019;; 99.182.872.878 ; 102.147.923.955 ;  ;  ;  ;; 218.728.759 ; 39.438.960 ;  ;  ;  ;; 1.174.169.894 ; 3.941.537.650 ;  ;  ;  ;; 129.511.504 ; 3.144.340.876 ;  ;  ;  ;;
TECH;PT Indosterling Technomedia Tbk;04-Jun-20;Technology;IT Services & Consulting; 40.208 ; 1.256.300.000 ; 160 ;35%;50%;-13%;2%;744%;152%;24%;10%;-44%;"SINARMAS SEKURITAS (DH); PHILLIP SEKURITAS INDONESIA (KK); SEMESTA INDOVEST SEKURITAS (MG)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;SHM PARTNERSHIP;;;;;;09-Jul-19;15-Jul-19;08-Aug-19;08-Jan-20;08-Jul-20;; 340 ; 432 ; 400 ; 810 ; 640 ; 50 ; 50 ;30-Nov-22;1;;2019;; 1.227.412.890.445 ; 1.418.667.289.925 ;  ;  ;  ;; 380.766.619.165 ; 116.983.107.804 ;  ;  ;  ;; 157.229.645.582 ; 70.047.463.960 ;  ;  ;  ;; 12.009.202.019 ; 4.975.641.471 ;  ;  ;  ;;
EPAC;PT Megalestari Epack Sentosaraya Tbk;01-Jul-20;Basic Materials;Containers & Packaging; 27.500 ; 3.303.400.000 ; 110 ;35%;144%;107%;28%;-55%;19%;20%;-21%;20%;SINARMAS SEKURITAS (DH);TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS;SHM PARTNERSHIP;;;;;;10-Jul-19;16-Jul-19;09-Aug-19;09-Jan-20;09-Jul-20;; 354 ; 665 ; 1.170 ; 2.120 ; 330 ; 50 ; 50 ;30-Nov-22;1;;2019;; 360.487.199.943 ; 478.735.300.304 ;  ;  ;  ;; 354.207.505.099 ; 357.789.705.618 ;  ;  ;  ;; 80.199.678.043 ; 67.802.736.335 ;  ;  ;  ;; 5.011.377.453 ; 1.107.631.767 ;  ;  ;  ;;
UANG;PT Pakuan Tbk;06-Jul-20;Consumer Cyclicals;Tourism & Recreation; 34.375 ; 1.210.000.000 ; 125 ;34%;252%;207%;52%;308%;13%;-5%;62%;23%;SINARMAS SEKURITAS (DH);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;ERY YUNASRI & PARTNERS;;;;;;10-Jul-19;16-Jul-19;09-Aug-19;09-Jan-20;09-Jul-20;; 374 ; 386 ; 376 ; 322 ; 250 ; 142 ; 144 ;;;;2019;; 572.696.096.000 ; 605.615.908.000 ;  ;  ;  ;; 406.219.967.000 ; 422.411.368.000 ;  ;  ;  ;; 185.470.738.000 ; 236.923.975.000 ;  ;  ;  ;; 2.646.730.000 ; 16.728.411.000 ;  ;  ;  ;;
PGUN;PT Pradiksi Gunatama Tbk;07-Jul-20;Consumer Non-Cyclicals;Agricultural Products; 103.500 ; 4.998.360.000 ; 115 ;35%;251%;223%;107%;126%;-6%;-10%;107%;367%;"INVESTINDO NUSANTARA SEKURITAS (IN); PANIN SEKURITAS TBK. (GR); PANCA GLOBAL SEKURITAS (PG)";KANAKA PURADIREDJA SUHARTONO;INFINITI & CO;;;;;;11-Jul-19;17-Jul-19;09-Aug-19;10-Jan-20;10-Jul-20;; 258 ; 252 ; 248 ; 220 ; 175 ; 300 ; 268 ;;;;2019;; 1.720.523.692.299 ; 1.777.193.862.372 ;  ;  ;  ;; 1.193.147.699.031 ; 1.242.440.113.320 ;  ;  ;  ;; 1.018.427.879.322 ; 918.687.641.143 ;  ;  ;  ;; 12.745.599.778 ;-412.451.577 ;  ;  ;  ;;
SOFA;PT Boston Furniture Industries Tbk;07-Jul-20;Consumer Cyclicals;Household Goods; 40.000 ; 1.650.000.000 ; 100 ;10%;-10%;-26%;5%;2%;161%;30%;-3%;-68%;"DANATAMA MAKMUR SEKURITAS (II); HENAN PUTIHRAI SEKURITAS (HP); MIRAE ASSET SEKURITAS INDONESIA (YP); SURYA FAJAR SEKURITAS; RELIANCE SEKURITAS INDONESIA TBK. (LS); ONIX SEKURITAS (FM); PANIN SEKURITAS TBK. (GR); NILAI INTI SEKURITAS (RO); KGI SEKURITAS INDONESIA (HD)";DOLI BAMBANG SULISTIYANTO DADANG & ALI;IMRAN MUNTAZ & CO;;;;;;12-Jul-19;18-Jul-19;09-Aug-19;10-Jan-20;10-Jul-20;; 785 ; 800 ; 795 ; 625 ; 456 ; 50 ; 50 ;;;;2019;; 184.497.238.229 ; 194.657.213.903 ;  ;  ;  ;; 34.984.550.334 ; 37.019.103.203 ;  ;  ;  ;; 2.999.879.798.251 ; 4.592.641.542.770 ;  ;  ;  ;; 4.865.096.730 ; 8.125.422.803 ;  ;  ;  ;;
PPGL;PT Prima Globalindo Logistik Tbk;20-Jul-20;Transportation & Logistic;Logistics & Deliveries; 16.500 ; 750.000.000 ; 110 ;10%;56%;80%;17%;-31%;19%;5%;35%;92%;UOB KAY HIAN SEKURITAS (AI);HELIANTONO & PARTNERS;ARMAND YAPSUNTO HUMARAMSYAH & PARTNERS;;;;;;02-Sep-19;06-Sep-19;01-Oct-19;28-Feb-20;01-Sep-20;; 590 ; 695 ; 630 ; 392 ; 314 ; 715 ; 750 ;;;;2019;; 233.938.142 ; 261.484.932 ;  ;  ;  ;; 111.133.477 ; 109.332.786 ;  ;  ;  ;; 18.075.230 ; 19.000.332 ;  ;  ;  ;; 6.882.039 ; 4.354.798 ;  ;  ;  ;;
TOYS;PT Sunindo Adipersada Tbk;06-Aug-20;Consumer Cyclicals;Sport Equipment & Hobbies Goods; 148.750 ; 1.435.000.000 ; 350 ;25%;83%;54%;31%;-81%;106%;8%;-15%;-96%;NH KORINDO SEKURITAS INDONESIA (XA);DOLI, BAMBANG, SULISTIYANTO, DADANG & ALI;WARDHANA KRISTANTO LAWYERS;;;;;;16-Sep-19;20-Sep-19;15-Oct-19;13-Mar-20;15-Sep-20;; 130 ; 122 ; 50 ; 50 ; 50 ; 50 ; 50 ;31-May-22;1;;2019;; 273.036.330.214 ; 572.273.574.609 ;  ;  ;  ;; 262.058.697.967 ; 133.495.282.717 ;  ;  ;  ;; 2.938.143.323 ; 12.564.430.357 ;  ;  ;  ;;-281.670.071 ; 1.011.895.667 ;  ;  ;  ;;
SGER;PT Sumber Global Energy Tbk;10-Aug-20;Energy;Coal; 54.000 ; 1.664.000.000 ; 108 ;34%;111%;191%;428%;289%;8%;-6%;60%;36%;"INDO CAPITAL SEKURITAS; SEMESTA INDOVEST SEKURITAS (MG)";MORHAN & PARTNERS;JURNALIS & PONTO LAW FIRM;;;;;;17-Sep-19;23-Sep-19;16-Oct-19;16-Mar-20;16-Sep-20;; 278 ; 240 ; 210 ; 147 ; 135 ; 2.700 ; 2.590 ;;;;2019;; 88.769.099.141 ; 240.400.240.148 ;  ;  ;  ;; 40.982.027.333 ; 87.948.408.577 ;  ;  ;  ;; 463.339.386.263 ; 527.670.332.728 ;  ;  ;  ;; 12.747.724.846 ; 14.690.055.702 ;  ;  ;  ;;
TRJA;PT Transkon Jaya Tbk;27-Aug-20;Transportation & Logistic;Passenger Land Transportation; 93.750 ; 1.510.200.000 ; 250 ;25%;11%;-40%;-34%;-21%;11%;-18%;0%;25%;UOB KAY HIAN SEKURITAS (AI);KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS (MEMBER OF CROWE GLOBAL);ACHMAD, JUSUF & PARTNERS;;;;;;19-Sep-19;25-Sep-19;18-Oct-19;18-Mar-20;18-Sep-20;; 945 ; 720 ; 695 ; 354 ; 314 ; 406 ; 430 ;;;;2019;; 1.147.017.049 ; 1.022.011.050 ;  ;  ;  ;; 616.014.236 ; 311.401.408 ;  ;  ;  ;; 670.435.983 ; 610.912.811 ;  ;  ;  ;; 27.255.900 ; 3.106.316 ;  ;  ;  ;;
PNGO;PT Pinago Utama Tbk;31-Aug-20;Basic Materials;Forestry & Paper; 39.063 ; 781.250.000 ; 250 ;25%;116%;118%;320%;472%;-2%;-11%;-15%;284%;PANIN SEKURITAS TBK. (GR);KOSASIH, NURDIYAMAN, MJULYADI, TJAHJO & PARTNERS (CROWE INDONESIA);MMI LAW OFFICE;;;;;;23-Sep-19;27-Sep-19;22-Oct-19;20-Mar-20;22-Sep-20;; 228 ; 328 ; 189 ; 85 ; 151 ; 54 ; 54 ;;;;2019;; 69.378.201.103 ; 117.941.123.751 ;  ;  ;  ;; 44.196.201.877 ; 3.122.551.435 ;  ;  ;  ;; 71.967.233.925 ; 70.718.982.899 ;  ;  ;  ;; 1.966.949.681 ; 2.699.073.415 ;  ;  ;  ;;
KMDS;PT Kurniamitra Duta Sentosa Tbk;07-Sep-20;Consumer Non-Cyclicals;Food & Staples Retailing; 48.000 ; 800.000.000 ; 300 ;25%;100%;93%;70%;45%;53%;-33%;-12%;-50%;VICTORIA SEKURITAS INDONESIA (MI);HERMAN DODY TANUMIHARDJA DAN PARTNERS;KONSULTAN HUKUM ALDJUFRI GILL PRISCILLA RIZKI AGPR LAWFIRM;;;;;;25-Sep-19;01-Oct-19;24-Oct-19;24-Mar-20;24-Sep-20;; 330 ; 725 ; 1.085 ; 374 ; 140 ; 185 ; 153 ;;;;2019;; 474.846.012.216 ; 570.552.375.649 ;  ;  ;  ;; 74.721.648.113 ; 66.765.274.701 ;  ;  ;  ;; 30.453.867.136 ; 19.326.556.196 ;  ;  ;  ;;-7.278.947.418 ; 5.303.596.765 ;  ;  ;  ;;
BBSI;PT Krom Bank Indonesia Tbk;07-Sep-20;Financials;Banks; 189.487 ; 2.605.447.053 ; 480 ;25%;52%;45%;548%;963%;51%;-4%;21%;58%;"BINAARTHA SEKURITAS (AR); UOB KAY HIAN SEKURITAS (AI)";DOLI, BAMBANG, SULISTIYANTO, DADANG & ALI;IRMA & SOLOMON LAW FIRM;;;;;;07-Oct-19;11-Oct-19;06-Nov-19;06-Apr-20;06-Oct-20;; 195 ; 505 ; 2.320 ; 4.790 ; 4.940 ; 152 ; 170 ;;;;2019;; 228.553.740.840 ; 344.232.907.047 ;  ;  ;  ;; 175.931.989.302 ; 251.390.751.802 ;  ;  ;  ;; 210.662.406.377 ; 324.907.716.884 ;  ;  ;  ;; 11.919.549.894 ; 21.253.405.613 ;  ;  ;  ;;
SCNP;PT Selaras Citra Nusantara Perkasa Tbk;07-Sep-20;Consumer Cyclicals;Household Goods; 55.000 ; 2.500.000.000 ; 110 ;35%;113%;109%;109%;160%;32%;47%;-47%;-207%;CGS-CIMB SEKURITAS INDONESIA (YU);TANUBRATA SUTANTO FAHMI BAMBANG & PARTNERS;TUMBUAN & PARTNERS;;;;;;09-Oct-19;15-Oct-19;08-Nov-19;08-Apr-20;08-Oct-20;; 450 ; 535 ; 1.160 ; 105 ; 318 ; 51 ; 51 ;31-May-23;7;;2019;; 652.854.881.315.000 ; 842.614.668.686.000 ;  ;  ;  ;; 544.518.812.823.000 ; 669.101.330.600.000 ;  ;  ;  ;; 583.784.530.048.000 ; 452.121.667.986.000 ;  ;  ;  ;; 27.276.484.633.000 ;-27.366.433.157.000 ;  ;  ;  ;;
SOHO;PT Soho Global Health Tbk;08-Sep-20;Healthcare;Pharmaceuticals; 208.173 ; 1.269.168.239 ; 1.820 ;25%;202%;242%;165%;182%;28%;1%;22%;45%;INDO PREMIER SEKURITAS (PD);PURWANTONO, SUNGKORO & SURJA (MEMBER OF ERNST & YOUNG GLOBAL LTD,);ASSEGAF HAMZAH & PARTNERS;;;;;;15-Oct-19;21-Oct-19;14-Nov-19;14-Apr-20;14-Oct-20;; 560 ; 496 ; 590 ; 570 ; 805 ; 555 ; 610 ;;;;2019;; 136.260.537.550 ; 325.432.978.377 ;  ;  ;  ;; 69.617.515.011 ; 90.263.877.136 ;  ;  ;  ;; 265.629.263.406 ; 281.751.896.998 ;  ;  ;  ;; 32.260.851.611 ; 33.205.208.231 ;  ;  ;  ;;
PURI;PT Puri Global Sukses Tbk;08-Sep-20;Properties & Real Estate;Real Estate Management & Development; 34.000 ; 1.000.000.000 ; 170 ;34%;99%;100%;149%;145%;28%;-3%;5%;-39%;PANIN SEKURITAS TBK. (GR);RAMA WENDRA (MEMBERS MCMILLAN WOODS);ADAMS & CO, COUNSELLORS-AT-LAW;;;;;;21-Oct-19;25-Oct-19;20-Nov-19;20-Apr-20;20-Oct-20;; 268 ; 282 ; 264 ; 98 ; 178 ; 500 ; 496 ;;;;2019;; 33.506.508.170 ; 710.349.799.459 ;  ;  ;  ;; 9.606.083.153 ; 30.866.018.505 ;  ;  ;  ;; 58.550.399.668 ; 211.001.743.239 ;  ;  ;  ;; 7.491.840.820 ; 16.583.016.352 ;  ;  ;  ;;
ROCK;PT Rockfields Properti Indonesia Tbk;10-Sep-20;Properties & Real Estate;Real Estate Management & Development; 384.630 ; 1.435.185.100 ; 1.340 ;25%;26%;-7%;-42%;-50%;46%;-10%;-24%;-255%;NH KORINDO SEKURITAS INDONESIA (XA);HERMAN DODY TANUMIHARDJA & PARTNERS;ERY YUNASRI & PARTNERS;;;;;;08-Nov-19;14-Nov-19;06-Dec-19;06-May-20;06-Nov-20;; 183 ; 476 ; 850 ; 1.285 ; 396 ; 1.495 ; 1.505 ;;;;2019;; 176.696.173.756 ; 178.542.229.812 ;  ;  ;  ;; 169.968.038.971 ; 153.241.969.421 ;  ;  ;  ;; 228.765.471.379 ; 223.320.494.901 ;  ;  ;  ;;-1.089.423.476 ; 565.070.606 ;  ;  ;  ;;
HOMI;PT Grand House Mulia Tbk;10-Sep-20;Properties & Real Estate;Real Estate Management & Development; 59.850 ; 787.500.000 ; 380 ;25%;92%;161%;293%;407%;61%;35%;-9%;-69%;"RHB SEKURITAS INDONESIA (DR); ERDIKHA ELIT SEKURITAS (AO)";KOSASIH, NURDIYAMAN, MULYADI, TJAHJO & PARTNERS;ERY YUNASRI & PARTNERS;;;;;;08-Nov-19;14-Nov-19;06-Dec-19;06-May-20;06-Nov-20;; 460 ; 436 ; 260 ; 50 ; 64 ; 50 ; 50 ;30-Nov-22;1;;2019;; 450.094.443.139 ; 808.300.723.068 ;  ;  ;  ;; 290.567.823.811 ; 216.599.080.223 ;  ;  ;  ;; 168.151.174.183 ; 176.806.012.680 ;  ;  ;  ;; 26.918.186.079 ; 17.056.865.193 ;  ;  ;  ;;
ENZO;PT Morenzo Abadi Perkasa Tbk;14-Sep-20;Consumer Non-Cyclicals;Agricultural Products; 41.160 ; 2.162.543.000 ; 105 ;34%;2%;-52%;-52%;-52%;23%;-12%;37%;22%;NH KORINDO SEKURITAS INDONESIA (XA);SUGANDA AKNA SUHRI & PARTNERS;WILLIAM HENDRIK ESTHER LAW OFFICE;;;;;;14-Nov-19;20-Nov-19;13-Dec-19;13-May-20;13-Nov-20;; 276 ; 530 ; 300 ; 150 ; 81 ; 51 ; 54 ;;;;2019;; 40.659.008.060 ; 75.609.342.033 ;  ;  ;  ;; 25.939.008.647 ; 24.040.090.991 ;  ;  ;  ;; 48.202.635.459 ; 53.528.450.125 ;  ;  ;  ;; 1.253.176.479 ; 1.191.566.812 ;  ;  ;  ;;
PLAN;PT Planet Properindo Jaya Tbk;15-Sep-20;Consumer Cyclicals;Tourism & Recreation; 30.000 ; 892.856.800 ; 112 ;10%;52%;138%;-57%;-74%;49%;2%;-17%;-51%;INDO CAPITAL SEKURITAS;MAURICE GANDA NAINGGOLAN & PARTNERS;WILLIAM HENDRIK ESTHER;;;;;;18-Nov-19;22-Nov-19;17-Dec-19;15-May-20;17-Nov-20;; 1.640 ; 1.795 ; 1.915 ; 1.615 ; 805 ; 770 ; 825 ;;;;2019;; 892.497.417.000 ; 898.913.890.000 ;  ;  ;  ;; 311.119.459.000 ; 239.335.456.000 ;  ;  ;  ;; 295.394.538.000 ; 379.904.122.000 ;  ;  ;  ;; 204.653.278.000 ; 45.954.573.000 ;  ;  ;  ;;
PTDU;PT Djasa Ubersakti Tbk;08-Dec-20;Infrastructures;Heavy Constructions & Civil Engineering; 30.000 ; 1.500.000.000 ; 100 ;35%;280%;815%;2820%;69%;50%;10%;-60%;-2%;MIRAE ASSET SEKURITAS INDONESIA (YP);GANDA NAINGGOLAN & PARTNERS;WILLIAM HENDRIK ESTHER;;;;;;25-Nov-19;29-Nov-19;23-Dec-19;20-May-20;24-Nov-20;; 1.125 ; 1.130 ; 900 ; 745 ; 1.160 ; 1.155 ; 1.280 ;;;;2019;; 536.474.210.503 ; 666.313.386.673 ;  ;  ;  ;; 161.689.303.541 ; 230.619.409.786 ;  ;  ;  ;; 856.750.384.301 ; 978.806.205.312 ;  ;  ;  ;; 67.479.160.972 ; 98.047.666.143 ;  ;  ;  ;;
ATAP;PT Trimitra Prawara Goldland Tbk;11-Dec-20;Properties & Real Estate;Real Estate Management & Development; 25.000 ; 1.250.000.000 ; 100 ;35%;114%;34%;12%;49%;11%;-36%;-57%;-83%;"KGI SEKURITAS INDONESIA (HD); RELIANCE SEKURITAS INDONESIA TBK. (LS); PANIN SEKURITAS TBK. (GR); AARTHA SEKURITAS INDONESIA (SH); PROFINDO SEKURITAS INDONESIA (RG); ERDIKHA ELIT SEKURITAS (AO)";RAMA WENDRA;WARDHANA KRISTANTO LAWYERS;;;;;;25-Nov-19;29-Nov-19;23-Dec-19;20-May-20;24-Nov-20;; 178 ; 191 ; 190 ; 108 ; 103 ; 143 ; 144 ;;;;2019;; 3.357.068.735.530 ; 3.255.607.109.573 ;  ;  ;  ;; 2.757.063.950.240 ; 2.078.486.201.260 ;  ;  ;  ;; 689.687.909.455 ; 728.562.875.731 ;  ;  ;  ;;-183.156.060.534 ;-160.987.619.452 ;  ;  ;  ;;
VICI;PT Victoria Care Indonesia Tbk;17-Dec-20;Consumer Non-Cyclicals;Personal Care Products; 100.800 ; 6.708.000.000 ; 100 ;35%;280%;248%;276%;420%;23%;-9%;31%;33%;MIRAE ASSET SEKURITAS INDONESIA (YP);PURWANTONO, SUNGKORO & SURJA (ERNST & YOUNG);WITARA CAKRA ADVOCATES (WCA);;;;;;02-Dec-19;06-Dec-19;30-Dec-19;29-May-20;01-Dec-20;; 187 ; 490 ; 396 ; 488 ; 446 ; 240 ; 185 ;30-Nov-22;7;;2019;; 122.141.758.557 ; 196.821.504.816 ;  ;  ;  ;; 81.875.362.538 ; 87.918.946.782 ;  ;  ;  ;; 350.266.613.026 ; 381.389.700.300 ;  ;  ;  ;; 1.488.483.853 ; 424.454.571 ;  ;  ;  ;;
